! puis
!b probable
!bm probablement
!bt probabilité
!c principe
!cl principal
!clm principalement
!cx principaux
!d produit
!d" producteur
!d0 production
!df productif
!dv productive
!dv productivement
!dvt productivité
!f profit
!f" profiteur
!fse profiteuse
!f¤ profitable
!j projet
!j" projecteur
!j0 projection
!m premier
!m premièrement
!mf primitif
!mv primitive
!mvm primitivement
!n prochaine
!nm prochainement
!p proportion
!pl proportionnel
!plm proportionnellement
!plt proportionnalité
!q presque
!r première
!s près
!t pratique
!tm pratiquement
!t¤ praticable
!v preuve
!x prix
!à prochain
!ï progrès
!ï0 progression
!ïf progressif
!ïv progressive
!ïvm progressivement
!œ proposition
dg danger
dgse dangereuse
dgsm dangereusement
dgx dangereux
dh dehors
dj déjà
dl douleur
dlse douloureuse
dlsm douloureusement
dlx douloureux
dm demain
dn dernier
dp depuis
dr dernière
drm dernièrement
ds des
dsqlls desquelles
dsqls desquels
dt dont
duql duquel
dv devant
d|s desuite
dï degré
dü doute
e! esprit
ef effet
eff effectif
efv effective
efvm effectivement
e|c et cætera
f faire
f% fonction
f%l fonctionnel
f%m fonctionnement
f%r fonctionnaire
fc facile
fcm facilement
fct facilité
fd fidèle
fdm fidèlement
fdt fidélité
fg figure
fgâ figuration
fl fille
fm femme
fm* féminin
fmn féminine
fo force
fom forcément
fq fréquent
fqc fréquence
fqm fréquemment
fqâ fréquentation
fr frère
frl fraternel
frlm fraternellement
frt fraternité
fs fils
ft faut
fte faute
fv faveur
fv¤ faborable
fv¤m favorablement
fê fête
g qui
g son
g( guerre
gd garde
gn général
gnm généralement
gnt généralité
gnx généraux
gnâ généralisation
gr gloire
grse glorieuse
grsm glorieusement
grx glorieux
gse généreuse
gsm généreusement
gst générosité
gv gouvernement
gv" gouverneur
gvl gouvernemental
gvx gouvernementaux
gx généreux
gè guère
h sur
h( hier
hb habitude
hbl habituel
hblm habituellement
hd hasard
hdse hasardeuse
hdx hasardeux
hg hommage
hl hélas
hm* humain
hmn humaine
hmnm humainement
hmnt humanité
hmntr humanitaire
hn honneur
hnr honoraire
hn¤ honorable
hn¤m honorablement
hp hypothèse
hpq hypothétique
hpqm hypothétiquement
hr heure
hrr horaire
hse heureuse
hsm heureusement
ht histoire
htq historique
htqm historiquement
hv hiver
hx heureux
hz horizon
hzl horizontal
hzlm horizontalement
hzx horizontaux
hê honnête
hêt honnêteté
hëm honnêtement
i il
icsm gracieusement
id idée
idl idéal
idlm idéalement
idx idéaux
ig image
igr imaginaire
ig¤ imaginable
igâ imagination
im immédiat
imm immédiatement
j je
jc justice
jd jadis
jg juge
jgm jugement
jm jamais
jn jeune
jr jour
jse joyeuse
jsm joyeusement
jx joyeux
k au
k'h aujourd'hui
k) autre
k)m autrement
k-d au-dessus
k-ü au-dessous
kc aucun
kf autrefois
kn aucune
knm aucunement
kp auparavant
kql auquel
kr autour
ks aussi
kt aussitôt
kxqlls auxquelles
kxqls auxquels
k|c au contraire
k|p autre part
k|q autant que
k|à autre chose
l le
l" ligne
l) lettre
lb libre
lbl libéral
lblt libéralité
lbm librement
lbt liberté
lbx libéraux
lbâ libération
ld lourd
ld" lourdeur
ldm lourdement
lgq logique
lgqm logiquement
ll lequel
lll laquelle
llls lesquelles
lls lesquels
lm lumière
lmse lumineuse
lmsm lumineusement
lmst luminosité
lmx lumineux
ln loin
ln* lointain
lnn lointaine
lq lorsque
lr lecture
lt longtemps
lv livre
l|ë la plupart
m me
m" magnifique
m"c magnificience
m"m magnifiquement
m) mettre
m* moins
m0 mission
m0r missionnaire
m? moment
m?m momentanément
mb mobile
mbt mobilité
mbâ mobilisation
mc merci
md madame
mds mesdames
mh malheur
mhse malheureuse
mhsm malheureusement
ml meilleur
mm mademoiselle
mms mesdemoiselles
mn manière
mq musique
mr monsieur
mrs messieurs
ms mes
mt maintenant
mv mauvais
mx mieux
my mystère
myse mystérieuse
mysm mystérieusement
myx mystérieux
mè mère
më multiple
më" multiplicateur
mët multiplicité
mëâ multiplication
mï malgré
n ne
n) notre
nb nombre
nbse nombreuse
nbx nombreux
nc nécessaire
ncm nécessairement
nct nécessité
nctse nécessiteuse
nctx nécessiteux
ng naguère
nl nouvel
nlm nouvellement
nm néanmoins
ns nos
nt nature
ntl naturel
ntlm naturellement
nv nouveau
nvt nouveauté
n|s non seulement
nâ nation
nâl national
nâlt nationalité
nâx nationaux
nô nôtre
o nous
ob observation
ob" observateur
oc occasion
ocl occasionnel
oclm occasionnellement
of office
ofl officiel
oflm officiellement
ofse officieuse
ofsm officieusement
ofx officieux
og origine
ogl original
oglm originalement
oglt originalité
ogr originaire
ogrm originairement
ogx originaux
oj objet
oj0 objection
ojf objectif
ojv objective
ojvt objectivité
op opinion
p par
p-d par-dessus
p-ê peut-être
p-ü par-dessous
p? pensée
p?f pensif
p?v pensive
p?vm pensivement
pa partout
pb possible
pbt possibilité
pc puissance
pd pendant
pe petit
pf parfois
pl particulier
plr particulière
plrm particulièrement
plrt particularité
pm parmi
pn personne
png personnage
pnl personnel
pnlm personnellement
pnlt personnalité
po pourtant
pp popolation
ppr popoulaire
pprm populairement
pprt popularité
ppse populeuse
ppx populeux
pq puisque
pr parole
ps pas
pt point
pte pointe
pv pauvre
pvm pauvrement
pvt pauvreté
p|a|d pour ainsi dire
p|c par conséquent
p|e par exemple
p|q parce que
p|s par suite
p|à|p peu à peu
pè père
pë peuple
pëm peuplement
pù pourquoi
q qui
q% quiconque
q0 question
q0r questionnaire
qc quelconque
qd quand
qe quoique
qf quelquefois
ql quel
qlt qualité
qq quelque
qt quant
qtt quantité
q|p quelque part
q|t quelque temps
q|à quelque chose
r rien
r% raison
r%m raisonnement
r%¤ raisonnable
r%¤m raisonnablement
r? renseignement
rf réflexion
rg regard
rl réel
rl" réalisateur
rlm réellement
rlt réalité
rl¤ réalisable
rlâ réalisation
rm remerciement
rp rapport
rp" rapporteur
rq remarque
rq¤ reqmarquable
rq¤m remarquablement
rr rare
rrm rarement
rrt rareté
rt relation
rtf relatif
rtv relative
rtvm relativement
rtvt relativité
ry rythme
ryq rythmique
rê rêve
rê" rêveur
rêse rêveuse
rï regret
rï¤ regrettable
rô rôle
rü route
s se
s" seigneur
s* soin
sb semblable
sbm semblablement
sc siècle
scr séculaire
scrm séculairement
sd soudain
sf souffrant
sfc souffrance
sj sujet
sj0 sujétion
sjf subjectif
sjv subjective
sjvm subjectivement
sjvt subjectivité
sl seul
sld solitude
slm seulement
slr solitaire
slrm solitairement
sn soudaine
snm soudainement
snt soudaineté
so sorte
sp supérieur
spm supérieurement
spt supériorité
sr sœur
ss ses
st surtout
stm sentiment
stml sentimental
stmlt sentimentalité
stmx sentimentaux
sv souvent
sw somme
swr sommaire
swrm sommairement
sy système
syq systématique
syqm systématiquement
s|c sans cesse
s|d sans doute
së simple
sëm simplement
sët simplicité
sëâ simplification
t te
t) titre
tf toutefois
th théorie
thq théorique
thqm théoriquement
tj toujours
tl tel
tlm tellement
tn tenir
tp temps
tpl temporel
tpr temporaire
tprm temporairement
tr terre
ts tes
tt toute
ty type
tyq typique
tyqm typiquement
t|q tandis que
t|à|t tour à tour
tê tête
u un
ug usage
ul utile
ul" utilisateur
ulm utilement
ult utilité
ultr utilitaire
ul¤ utilisable
ulâ utilisation
un une
unt unité
uq unique
uqm uniquement
uv univers
uvl universel
uvlm universellement
uvlt universalité
uvt université
uvtr universitaire
v vous
v" valeur
v% volontiers
v) votre
v-à-v vis-à-vis
vc voici
vf vif
vg voyage
vg" voyageur
vgse voyageuse
vl voilà
vm vraiment
vn venir
vo volonté
vor volontaire
vorm volontairement
vr véritable
vrm véritablement
vs vos
vv vive
vvm vivement
vx vieux
vé vérité
w tous
x mais
x! expression
x!f expressif
x!v expressive
x!vm expressivement
x( exercice
x) extrême
x)m extrêmement
x)t extrémité
xc excès
xcf excessif
xcv excessive
xcvm excessivement
xl excellent
xlc excellence
xp expérience
xp" expérimentateur
xpl expérimental
xplm expérimentalement
xpx expérimentaux
xpâ expérimentation
xt extérieur
xtm extérieurement
xë explication
xëf explicatif
xëv explicative
z elle
àc chacun
àd chaud
àdm chaudement
àf chiffre
àfg chiffrage
àg change
àgm changement
àl chaleur
àlse chaleureusement
àlx chaleureux
àm chemin
àn chacune
àp champ
àq chaque
àr choeur
às chose
àt charité
àt¤ charitable
àt¤m charitablement
àx choix
àz chez
à|! à présent
à|) à travers
à|c à cause
à|m à mesure
à|p à peine
à|p|! à peu près
àè chère
àèm chèrement
àï chagrin
â tout
â|à|c tout à coup
â|à|f tout à fait
ç pour
è sans
é quoi
ég égal
égm également
égt égalité
égtr égalitaire
égx égaux
él élément
élr élémentaire
én énergie
énq énergique
énqm énergiquement
ét étant
év événement
évl éventuel
évlm éventuellement
évlt éventualité
ê même
ê) être
ë plus
ëc place
ëcm placement
ër plaisir
ës plusieurs
ët plutôt
ë|t plus tard
ë|ô plus tôt
î cet
ï grand
ï" grandeur
ïc grâce
ïcse gracieuse
ïcx gracieux
ïd grande
ïdm grandement
ïp groupe
ïpm groupement
ïv grave
ïvm gravement
ïvt gravité
ô dans
ù et
û est
ûl essentiel
ûlm essentiellement
ûp espèce
ûr espoir
ûrc esṕerance
ü ou
ü) outre
ü)g outrage
ü)gse outrageuse
ü)gsm outrageusement
ü)gx outrageux
üg ouvrage
üv ouvrier
üè ouvrière
œ! impression
œ!¤ impressionnable
œt sont
œv œuvre
